,Date,Study,Study Link,Journal,Population,Timeline Modeled,Baseline Scenario,With Intervention,Study Type
0,2020-04-15,Household Secondary Attack Rate of COVID-19 and Associated Determinants,https://doi.org/10.1101/2020.04.11.20056010,MedRxiv,Guangzhou - 335 cases and 1938 noninfected contacts ,"cases reported by Feb 17, 2020",a COVID-19 case infected 0.48 (95% CI: 0.39-0.58) close contacts,"had isolation not been implemented, this number increases to 0.62 (95% CI: 0.51-0.75)",Modeling Study
1,2020-04-07,A hybrid multi-scale model of COVID-19 transmission dynamics to assess the potential of non-pharmaceutical interventions,https://doi.org/10.1101/2020.04.05.20054460,MedRxiv,Italy,43920,98.4 % of the population will be infected,"If 80% of the population stayed home, there would be an infection rate of 30%",Modeling Study
2,2020-03-30,Dynamic Modeling to Identify Mitigation Strategies for Covid-19 Pandemic,https://doi.org/10.1101/2020.03.27.20045237,MedRxiv,"World population outside of China (6,384,063,104)",Jan 22nd - March 12th,Unknown,29.42% reduction in infection rate,Modeling Study
3,2020-03-23,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study The Lancet Infectious Diseases,https://doi.org/10.1016/S1473-3099(20)30162-6,Lancet Infect Dis,Singapore,Day 80,"R0 = 1.5 270,000 people infected (7.4% population)","15,000 infected (94.8% decrease)",Modeling Study
4,2020-03-23,Effectiveness and cost-effectiveness of public health measures to control COVID-19: a modelling study,https://doi.org/10.1101/2020.03.20.20039644,MedRxiv,Unknown,Unknown,1698±716.41 infectors with no intervention,2±1.08 infectors,Modeling Study
5,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis medrxiv,https://doi.org/10.1101/2020.03.20.20040055,MedRxiv,"Newcastle, Australia",10 week model accounding for activation delays,"66% infection rate (179,788 infected individuals) - no activation delay","31.02% IR (84,508 infected individuals)",Modeling Study
6,2020-03-18,Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)?,https://doi.org/10.1101/2020.03.15.20036533,MedRxiv,2015 laboratory confirmed COVID-19 patients ,"Jan. 1, 2020 - Feb. 25, 2020",WHO recommended 14 day quarantine ,88.5% effective ,Respective Cohort Analysis 
7,2020-03-13,Predicting the cumulative number of cases for the COVID-19 epidemic in China from early data,https://doi.org/10.1101/2020.03.11.20034314,MedRxiv,Mainland China,Jan 20th - Jan 29th,"Total reported cases 820,000 and unreported 200,000","Total reported cases 63,100 and unreported 94,700",Modeling Study
8,2020-03-06,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,https://doi.org/10.1101/2020.03.03.20029843,MedRxiv,Mainland China,"Feb 29th, 2020","114,325 COVID-19 cases ( [IQR] 76,776 - 164,576)",5-fold increase (IQR: 3.3 - 7.1) in cases avoided,Modeling Study
9,2020-03-03,A simple model to assess Wuhan lock-down effect and region efforts during COVID-19 epidemic in China Mainland,https://doi.org/10.1101/2020.02.29.20029561,MedRxiv,"Wuhan, China","January 24 - February 15, 2020","41,477 cases","15,768 cases",Modeling Study
10,2020-02-17,Estimating the Efficacy of Traffic Blockage and Quarantine for the Epidemic Caused by 2019-nCoV (COVID-19),https://doi.org/10.1101/2020.02.14.20022913,MedRxiv,Hubei province provinces outside Hubei,Unknown,current Hubei quaratine factor (HQF)  0.405 current outside Hubei quaratine factor (oHQF) 0.285,HQF increased by 0.01 peak infections decrease by 5.53% oHQF increased by 0.01 peak infections decrease by 14.64% total population lockdown - 89.68% decrease in peak value population flows control free - 20.4% increase in peak value,Modeling Study
11,2020-02-17,Assessing the Impact of Reduced Travel on Exportation Dynamics of Novel Coronavirus Infection (COVID-19),https://doi.org/10.3390/jcm9020601,Journal of Clinical Medicine,exported cased from Wuhan city,"Jan 28th-Feb 7th, 2020","R0 = 2.2 contract tracing leading to isolation at 10%, 30%, and 50%","absolute risk reduction 7%, 12%, and 20%, respectively",Modeling Study
12,2020-02-12,Simulating the infected population and spread trend of 2019-nCov under different policy by EIR model medrxiv,https://doi.org/10.1101/2020.02.10.20021519,MedRxiv,Mainland China ,"Dec. 1, 2019 - Apr. 30, 2020",100% quarantined rate ,"Peak date: Feb 16th with 49,093 individuals confirmed ",Modeling Study 
