,Date,Study,Study Link,Journal,Population,Timeline Modeled,Baseline Scenario,With Intervention,Study Type
0,2020-04-14,Optimal Control applied to a SEIR model of 2019-nCoV with social distancing,https://doi.org/10.1101/2020.04.10.20061069,MedRxiv,Unknown,200 days ,"effective contact rate is unchanged (i.e. σ = 1), peak population infection rate of 9%",σ = 0.75 peak infection rate reduces to 6.3%; σ = 0.5 peak infection rate reduces to 2.6%,Modeling Study 
1,2020-04-14,A Stratified Model to Quantify the Effects of Containment Policies on the Spread of COVID-19,https://doi.org/10.1101/2020.04.10.20060681,MedRxiv,"Iran assuming 1 in 10,000 in population are infectious on day 1",first 90 days COVID-19 spread,uncontained: eventual removed ratio 65.29%; maximum  instantaneous infectious ration 11.03%; R0 2.28,social distancing:  eventual removed ratio 9.46%; maximum instantaneous infectious ration 3.72%; R0 0.49,Modeling Study
2,2020-04-14,A Stratified Model to Quantify the Effects of Containment Policies on the Spread of COVID-19,https://doi.org/10.1101/2020.04.10.20060681,MedRxiv,"Iran assuming 1 in 10,000 in population are infectious on day 1",first 90 days COVID-19 spread,uncontained:  eventual removed ratio 65.29%; maximum instantaneous infectious ration 11.03%; R0 2.28,only elderly social distancing:  eventual removed ratio 63.36%; maximum instantaneous infectious ration 8.55%; R0 1.79,Modeling Study
3,2020-04-12,Transmission dynamics of SARS-COV-2 in China: impact of public health interventions,https://www.medrxiv.org/content/10.1101/2020.03.24.20036285v1,MedRxiv,"Mainland, China",Jan 22nd - Jan 30th,"3.38 reproduction number (95% CI, 3.25–3.48)",0.5 reproduction number,Modeling Study
4,2020-04-06,Sustainable social distancing through facemask use and testing during the Covid-19 pandemic,https://doi.org/10.1101/2020.04.01.20049981,MedRxiv,10 million individuals modeled ,Unknown,R0 = 2.4 ,65% effective social protection R < 1,Modeling Study 
5,2020-03-30,Dynamic Modeling to Identify Mitigation Strategies for Covid-19 Pandemic,https://doi.org/10.1101/2020.03.27.20045237,MedRxiv,"World population outside of China (6,384,063,104)",Jan 22nd - March 12th,Not provided,29.42% reduction in infection rate,Modeling Study
6,2020-03-25,"The effect of control strategies to reduce social mixing on outcomes of the COVID-19 epidemic in Wuhan, China: a modelling study The Lancet Public Health",https://doi.org/10.1016/S2468-2667(20)30073-6,Lancet Pub Health,"Wuhan, China",1 year modeling period,Not provided,"92% reduction in infections (IQR 66–97) and 24% (13–90) in mid-2020 and end-2020,",Modeling Study
7,2020-03-23,Effectiveness and cost-effectiveness of public health measures to control COVID-19: a modelling study,https://doi.org/10.1101/2020.03.20.20039644,MedRxiv,Unknown,Unknown,1698±716.41 infectors with no intervention,1595±800.23 infectors,Modeling Study
8,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis medrxiv,https://doi.org/10.1101/2020.03.20.20040055,MedRxiv,"Newcastle, Australia",10 week model accounding for activation delays,"66% infection rate (179,788 infected individuals) - no activation delay","30% Community contact reduction (CCR) : 53.45% IR (145,592) 50% CCR: 41.45% IR (113,149) 70% CCR: 23.67% IR (64,492)",Modeling Study
9,2020-03-13,Predicting the cumulative number of cases for the COVID-19 epidemic in China from early data,https://doi.org/10.1101/2020.03.11.20034314,MedRxiv,"Mainland China, this is a repeat of the paper in the section above but i put it anyway",Jan 20th - Jan 29th,"Total reported cases 820,000 and unreported 200,000","Total reported cases 63,100 and unreported 94,700",Modeling Study
10,2020-03-12,"Revealing the influence of national public health policies for the outbreak of the SARS-CoV-2 epidemic in Wuhan, China through status dynamic modeling",https://doi.org/10.1101/2020.03.10.20032995,MedRxiv,"Wuhan, China","Jan. 27th, 2020 - Feb. 2nd, 2020",Reproduction number of 2.65,Reproduction number of 1.98,Modeling Study
11,2020-03-12,"Revealing the influence of national public health policies for the outbreak of the SARS-CoV-2 epidemic in Wuhan, China through status dynamic modeling",https://doi.org/10.1101/2020.03.10.20032995,MedRxiv,"Wuhan, China",Jan 27th - Feb 2nd,"77,453 cases in that timeline","6,536 cases in that timeline",Modeling Study
12,2020-03-11,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,https://doi.org/10.1007/s40484-020-0199-0,Quantitative Biology,"Hubei Province, China",Jan 20- Feb 21,"8,923,823 total cases","49,510 total cases",Modeling Study
13,2020-03-06,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,https://doi.org/10.1101/2020.03.03.20029843,MedRxiv,Mainland China,"Feb 29th, 2020","114,325 COVID-19 cases ( [IQR] 76,776 - 164,576)",2.6-fold increase (IQR: 1.7 - 3.7) in cases avoided,Modeling Study
14,2020-02-29,Backcalculating the Incidence of Infection with COVID-19 on the Diamond Princess,https://doi.org/10.3390/jcm9030657,Journal of Clinical Medicine,Diamond Princess Cruise Ship,"Feb 5th, 2020 onward",Incidence with intervention mandated by cruise ship: 102 cases with close contact 47 cases without close contact,"Incidence projected without intervention: close contact: 1373 (95% CI: 570, 2176) without close contact: 766 (95% CI: 587, 946)",Modeling Study
15,2020-02-13,"Early epidemiological assessment of the transmission potential and virulence of coronavirus disease 2019 (COVID-19) in Wuhan City: China, January-February, 2020",https://doi.org/10.1101/2020.02.12.20022434,MedRxiv,"Wuhan, China",January 23rd 2020,5.20 reproduction number (95%CrI: 5.04–5.47),0.58 reproduction number (95%CrI: 0.51–0.64),Modeling Study
