,Date,Study,Study Link,Journal,Population,Timeline Modeled,Baseline Scenario,With Intervention,Study Type
0,2020-04-14,A Stratified Model to Quantify the Effects of Containment Policies on the Spread of COVID-19,https://doi.org/10.1101/2020.04.10.20060681,MedRxiv,"Iran assuming 1 in 10,000 in population are infectious on day 1",first 90 days COVID-19 spread,uncontained: eventual removed ratio 65.29%; maximum instantaneous infectious ration 11.03%; R0 2.28,schools and universities closed: eventual removed ratio 47.20%; maximum instantaneous infectious ration 9.80%; R0 2.21,Modeling Study
1,2020-03-25,"The effect of control strategies to reduce social mixing on outcomes of the COVID-19 epidemic in Wuhan, China: a modelling study The Lancet Public Health",https://doi.org/10.1016/S2468-2667(20)30073-6,Lancet Pub Health,"Wuhan, China",1 year modeling period,Not provided,"92% reduction in infections (IQR 66–97) and 24% (13–90) in mid-2020 and end-2020,",Modeling Study
2,2020-03-23,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study The Lancet Infectious Diseases,https://doi.org/10.1016/S1473-3099(20)30162-6,Lancet Infect Dis,Singapore,Day 80,"R0 = 1.5 270,000 people infected (7.4% population)","10,000 infected",Modeling Study
3,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis medrxiv,https://doi.org/10.1101/2020.03.20.20040055,MedRxiv,"Newcastle, Australia",10 week model accounding for activation delays,"66% infection rate (179,788 infected individuals) - no activation delay","School Closure 61.90% IR (168,611)",Modeling Study
4,,,,,,,1 week delay,"School Closure 61.92% IR (168,688)",
5,,,,,,,2 week delay,"School Closure 61.82% IR (168,395)",
6,,,,,,,3 week delay,"School Closure 61.88% IR (168,573)",
7,,,,,,,4 week delay,"School Closure 61.93% IR (168,705)",
8,,,,,,,5 week delay,"School Closure 61.77% IR (168,258)",
9,,,,,,,6 week delay,"School Closure 61.87% IR (168,552)",
10,,,,,,,7 week delay,"School Closure 61.93% IR (168,703)",
11,,,,,,,8 week delay,"School Closure 61.92% IR (168,667)",
12,,,,,,,9 week delay,"School Closure 61.97% IR (168,820)",
13,,,,,,,10 week delay,"School Closure 62.06% IR (169,063)",
