,Date,Study,Study Link,Journal,Result,Significant Factors,Factors Described,Effect,Study Type,Measure of Evidence
0,2020-04-14,Relationship between Average Daily Temperature and Average Cumulative Daily Rate of Confirmed Cases of COVID-19,https://doi.org/10.1101/2020.04.10.20059337,medrxiv,Yes,Average daily temperature,Average daily temperature,"We found that when there is a significant difference in the daily mean temperature between two regions of a country, a significant difference exists also in the average cumulative daily rate of confirmed cases.",Ecological Regression,5 countries
1,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Yes,temperature,"temperature minimum (°C), temperature maximum (°C), temperature average (°C), humidity (%), and amount of Rainfall (mm).",only temperature average (°C) was significantly correlated with covid-19 pandemic (r = 0.392; p < .01).,Retrospective Study,678 cases
2,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Yes,"Average pressure, Average temperature, Minimum temperature, Average water vapor pressure","Average Temperature, Maximum Temperature, Minimum Temperature, Average Pressure, Average water temperature pressure, Average Relative Humidity, Average Windspeed, Precipitation, Total solar radiation, Maximum Solar Irradiance","the incidence of COVID-19 was significantly positively correlated with average pressure and negatively correlated with average temperature, minimum temperature and average water vapor pressure",Ecological Regression,67773 cases
3,2020-03-31,"Temperature, humidity, and wind speed are associated with lower Covid-19 incidence",https://doi.org/10.1101/2020.03.27.20045658,medrxiv,Yes,"Temperature, Humidity","Temperature, Humidity, Wind speed",Cold and dry environments are more favourable condition for virus survival,Ecological Regression,116 countries
4,2020-03-31,No Evidence for Temperature-Dependence of the COVID-19 Epidemic,https://doi.org/10.1101/2020.03.29.20046706,medrxiv,No,Temperature,Temperature ,no evidence that spread rates decline with temperatures above 20 oC,Ecological Regression,"Data from WHO, ECDC, and John Hopkin CSSA on all affected countries"
5,2020-03-30,COVID-19 transmission in Mainland China is associated with temperature and humidity: a time-series analysis,https://doi.org/10.1101/2020.03.30.20044099,medrxiv,Yes,"Temperature, Humidity","Temperature, Humidity","Every 1C increase in the AT led to a decrease in the daily confirmed cases by 36% to 57% when ARH was in the range from 67% to 85.5%. Every 1% increase in ARH led to a decrease in the daily confirmed cases by 11% to 22% when AT was in the range from 5.04°C to 8.2°C. However, results were not consistent throughout provinces in mainland china",Time-series analysis,31 provinces in china
6,2020-03-30,Effects of temperature on COVID-19 transmission,https://doi.org/10.1101/2020.03.29.20044461,medrxiv,No,Temperature,Temperature,"Changes in temperature shows no significant correlation with cases transmitted, deaths or recovered:",Retrospective Study,"240,000 cases"
7,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Environment,Yes,"Temperature, Humidity","Temperature, Diurnal Temperature Range, Relative Humidity, Air Pollutant ",Both per 1 unit increase of temperature and absolute humidity were related to the decreased COVID-19 death counts,Retrospective Study,2299 cases
8,2020-03-26,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medrxiv,Yes,Temperature,"Temperature, Precipitation Humidity","1C increase in local temperature reduces new COVID-19 cases per 1 million people by 13%, with a 95% confidence interval of [-21%, -4%]",Simulation,166686 cases
9,2020-03-24,The impact of temperature and absolute humidity on the coronavirus disease 2019 (COVID-19) outbreak - evidence from China,https://doi.org/10.1101/2020.03.22.20038919,medrxiv,Yes,Temperature,"Temperature, Absolute Humidity",Transmission rate decreased with the increase of temperature,Ecological Study,31 provincial-level regions in china
10,2020-03-23,Association between ambient temperature and COVID-19 infection in 122 cities from China,https://doi.org/10.1016/j.scitotenv.2020.138201,Science of The Total Environment,Yes,Temperature,Temperature,Our results indicate that mean temperature has a positive linear relationship with the number of COVID-19 cases with a threshold of 3 °C.,Ecological Regression,122 cities from China
11,2020-03-20,Roles of meteorological conditions in COVID-19 transmission on a worldwide scale,https://doi.org/10.1101/2020.03.16.20037168,medrxiv,Yes,"Temperature, Wind Speed, Relative Humidity","Air Temperature, Relative Humidity, Wind Speed, Visibility",Multiple environmental factors are involved,Ecological Regression,523 cities
12,2020-03-18,Effects of temperature variation and humidity on the mortality of COVID-19 in Wuhan,https://doi.org/10.1101/2020.03.15.20036426,medrxiv,Yes,Diurnal Temperature,"Temperature, Diurnal Temperature Range, Relative Humidity, Air Pollutant ","Each 1 unit increase in diurnal temperature range was only associated with a 2.92% (95% CI: 0.61%, 5.28%) increase in COVID-19 mortality at lag 3",Retrospective Study,2299 mortality counts
13,2020-03-08,Role of temperature and humidity in the modulation of the doubling time of COVID-19 cases,https://doi.org/10.1101/2020.03.05.20031872,medrxiv,Yes,"Temperature, Humidity","Temperature, Humidity, Precipitation, Wind speed",Results indicate that the doubling time correlates positively with temperature and inversely with humidity. A 20C increase is expected to delay the doubling time in 1.8 days.,Ecological Regression,31 provinces in China
14,2020-03-06,Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period,https://doi.org/10.1101/2020.03.04.20031112,medrxiv,Yes,Temperature,Absolute humidity and temperature,"SARS-CoV- 2 was capable of producing a substantial outbreak regardless of establishment time. Winter/spring establishments favored longer-lasting outbreaks with shorter peaks (Fig 3A), while autumn/winter establishments led to more acute outbreaks",Simulation ,Data from the United States
15,2020-03-03,Potential Factors Influencing Repeated SARS Outbreaks in China.,https://doi.org/10.3390/ijerph17051633,IJERPH,Yes,"Temperature, Humidity","Temperature, Humidity","A cold, dry environment is more conducive for SARS-COV-2 viral infection in human beings",Literature Review,
16,2020-02-29,"The Effects of ""Fangcang Huoshenshan and Leishenshan"" Makeshift Hospitals and Temperature on the Mortality of COVID-19",https://doi.org/10.1101/2020.02.26.20028472,medrxiv,Yes,Air Temperature,Air Temperature,"if the AT rises 1 Celsius, the mortality of confirmed cases would decrease 0.44% and the mortality of severe cases would decrease 0.42% on average. ",Retrospective Study,32 days of data from China
17,2020-02-21,Molecular mechanism of evolution and human infection with the novel coronavirus (2019-nCoV),https://doi.org/10.1101/2020.02.17.952903,biorxiv,Yes,Temperature,Temperature in Lab,2019-nCoV will be less infectious with rising temperature and more infectious in the Winter,Basic Science,Not Included
18,2020-02-18,Analysis of meteorological conditions and prediction of epidemic trend of 2019-nCoV infection in 2020,https://doi.org/10.1101/2020.02.13.20022715,medrxiv,Yes,"Temperature, Humidity, precipitation","Temperature, Humidity, Precipitation","The humidity range is 50%-80%, of which about 75% humidity is conducive to the survival of the coronavirus; the suitable precipitation range is below 30 mm/ month. Cities with a mean temperature below 24 °C are all high-risk cities for 2019-nCoV",Ecological Regression,Data from Patients in Wuhan and Guangzhou
19,2020-02-17,The role of absolute humidity on transmission rates of the COVID-19 outbreak,https://doi.org/10.1101/2020.02.12.20022467,medrxiv,No,"Temperature, Relative Humidity","Temperature, Relative Humidity",Weather alone will not lead to a decrease in COVID 19 Cases,Ecological Regression,"Data from WHO, U.S. CDC, CDC, European CDC, the Chinese NHC, DXY (Chinese website that aggregates NHC and local CCDC situation reports) in near real-time. For comparison, we also obtained epidemiological data for affected countries including Thailand, Singapore, Japan, and South Korea, as well as other regions in China with important differences in data collection,"
