,Date,Study,Study Link,Journal,LES Population,Recommendation Snippet,Study Type
0,2020-04-15,COVID-19 outbreak at a large homeless shelter in Boston: Implications for universal testing,https://doi.org/10.1101/2020.04.12.20059618,medRxiv,Homeless,"Universal PCR testing, rather than a symptom triggered approach, may be a better strategy for identifying and mitigating COVID-19 among people experiencing homelessness",Retrospective Observational Study
1,2020-04-15,Multidisciplinary research priorities for the COVID-19 pandemic: a call for action for mental health science,https://doi.org/10.1016/S2215-0366(20)30168-1,The Lancet: Psychiatry,Psychiatric Illness,"Multidisciplinary mental health science research must be central to the international response to the COVID-19 pandemic, given the potential effects on individual and population mental health, and its potential effect on the brain function of some of those affected by the disease.",Expert Review
2,2020-04-11,People experiencing homelessness: Their potential exposure to COVID-19,https://doi.org/10.1016/j.psychres.2020.112945,Pyschiatry Research,Homeless,"Homeless people need better access to health care providers who could order diagnostic testing and, if confirmed, isolate them from others in coordination with local health departments.",Expert Review
3,2020-04-11,U.S. county-level characteristics to inform equitable COVID-19 response,https://doi.org/10.1101/2020.04.08.20058248,MedRxiv,Poverty and Uninsured,"Both the federal and state governments will benefit from recognizing high intra-state, inter-county variation in population risks and response capacity.",Simulation
4,2020-04-10,Epidemiology of COVID-19 among people experiencing homelessness: Early evidence from Boston,http://hdl.handle.net/2027.42/154734,"Annals of Family Medicine, COVID-19 Collection",Homeless,Municipalities with sizable homeless populations should prepare urgently for the possibility of a surge in COVID-19 among people experiencing homelessness,Case Series
5,2020-04-07,The Challenge of Preventing COVID-19 Spread in Correctional Facilities,https://jamanetwork.com/journals/jama/fullarticle/2764379,Journal of American Medical Association,Incarcerated,Releasing incarceated Individuals and increase thermoteters and hand sanitizer in prisons,Expert Review
6,2020-04-06,Mitigating and learning from the impact of COVID-19 infection on addictive disorders,https://doi.org/10.1111/add.15080,Addiction,Substance Use Disorder,There is an urgent need to co-ordinate efforts nationally and internationally to mitigate these problems and to find innovative ways of continuing to provide clinical and public health services to help people with addictive disorders.,Expert Review
7,2020-04-03,Addressing the COVID-19 Pandemic in Populations With Serious Mental Illness,https://jamanetwork.com/journals/jamapsychiatry/fullarticle/2764227,Journal of American Medical Association Pyschiatry,Psychiatric Illness,Expand and Strengthen Mental Health Services,Expert Review
8,2020-04-02,Flattening the Curve for Incarcerated Populations — Covid-19 in Jails and Prisons,https://www.nejm.org/doi/full/10.1056/NEJMp2005687,New England Journal of Medicine,Incarcerated,"We believe in decarcerating, focusing on those who are least likely to commit additional crimes, but also on the elderly and infirm. Also urging police and courts to immediately suspend arresting and sentencing people, as much as possible, for low-level crimes and misdemeanors.",Expert Review
9,2020-04-02,Fighting covid-19 outbreaks in prisons,https://doi.org/10.1136/bmj.m1362,Boston Medical Journal,Incarcerated,"Health education for inmates and prison staff must be intensified, and better treatment and prevention measures require increased funding. More non-custodial sentences would decongest prisons, reducing the potential for the outbreaks seen in China.",Expert Review
