,Date,Study,Study Link,Journal,Mode of Communication,Population,Study Type
0,2020-04-21,Information Overload: A Method to Share Updates among Frontline Staff during the COVID-19 Pandemic,https://doi.org/10.1177/0194599820922988,Otolaryngology–Head and Neck Surgery,"A 1-page centralized document termed a “quicksheet” was developed to include guidelines, policies, and practical information and to serve as a reference tool for our clinicians.",Otolaryngology Department,Expert Review
1,2020-04-17,Secure Communication Conduits During COVID19 Lockdown,10.1111/ced.14244,Clinical and Experimental Dermatology,"WhatsApp, Nye, Myskinselfie, Hospify, Pando",Clinicians,Expert Review
2,2020-04-17,"Preparedness, prevention and control of coronavirus disease (COVID-19) for refugees and migrants in non-camp settings",https://www.who.int/publications-detail/preparedness-prevention-and-control-of-coronavirus-disease-(covid-19)-for-refugees-and-migrants-in-non-camp-settings,WHO,"Provide culturally and linguistically appropriate, accurate, timely and user-friendly information in accessible formats on the health facilities available for COVID-19 care, Identify and work with groups able to communicate well with refugees and migrants. Information on how people can seek testing, care and treatment could be provided through local 24/7 COVID-19 telephone hotlines as well as visual and other forms of educational materials.",Refugees and Migrants,Expert Review
3,2020-04-15,Personal protective equipment for preventing highly infectious diseases due to exposure to contaminated body fluids in healthcare staff.,https://doi.org/10.1002/14651858.CD011621.pub4,Cochrane Database of Systematic Reviews (CDSR),Face-to-face training in PPE use may reduce errors more than folder-based training.,Health care workers,Systematic analysis and meta-analysis
4,2020-04-14,A Mobile Health Platform to Disseminate Validated Institutional Measurements During the COVID-19 Outbreak: Utilization-Focused Evaluation Study,10.2196/18668,JMIR: Public Health and Surveillance,Utilization of a dedicated mobile health (mHealth) platform to disseminate up-to-date and validated information about SARS-CoV-2 to all medical staff of the Children’s Hospital at the University Hospitals of Geneva.,Medical staff of the Children’s Hospital at the University Hospitals of Geneva,Case Series
5,2020-04-13,Use of Handheld Transceiver for Hospital Healthcare Workers-Caregiver Communication During the Coronavirus disease 2019 (COVID-19) Outbreak in Pediatric Emergency Department,10.1097/INF.0000000000002689,The Pediatric Infectious Disease Journal,"Dedicated rooms to lockdown infected children, without an interphone or telemetry system, were set up, cameras were positioned inside, and hand-held transceivers (HTs) were given to the parents for communication with the HCWs. HTs let these interactions be synchronous, wherein parties engage in real-time, 2-way communication, without any delay of time.",Pediatric patients,Case Series
6,2020-04-03,Investigation of three clusters of COVID-19 in Singapore: implications for surveillance and response measures,https://doi.org/10.1016/S0140-6736(20)30528-6,The Lancet,We video-called individuals who were quarantined at home three times a day to verify their location; quarantine violators were tagged with a continuous tracking device. We placed other contacts (depending on risk stratification) on phone surveillance or advised them to self-monitor and visit a primary-care clinic if they became unwell.,Quarantined population,Case Series
7,2020-04-02,Communication Skills in the Age of COVID-19,https://dx.doi.org/10.7326%2FM20-1376,Annals of Internal Medicine,"Care from a clinician who communicates their caring--including proactive COVID-19 planning for patients who are already frail with other serious illnesses, facilitating virtual goodbyes between family members and dying patients with restricted access, and explaining decisions on why a particular patient will not receive a scarce resource--could mitigate a measure of the suspicion and mistrust that seems likely to be another legacy of COVID-19.",Severely ill,Expert Review
8,2020-03-31,Applying Palliative Care Principles to Communicate with Children about COVID-19,https://doi.org/10.1016/j.jpainsymman.2020.03.020,Journal of Pain and Symptom Management,"Palliative care teams are wise to encourage families to ground their communication with children on key values: honesty and trust, self-compassion, safety, sensitivity, connection, preparedness, community-building, recognition of death as a part of the lifecycle, and legacy.",Children,Expert Review
9,2020-03-31,Protecting the psychological health of children through effective communication about COVID-19,https://www.thelancet.com/pdfs/journals/lanchi/PIIS2352-4642(20)30097-3.pdf,The Lancet Child & Adolescent Health,"Adults need to be authentic about some of the uncertainty and psychological challenges of the pandemic, without overwhelming children with their own fears.",Children,Expert Review
10,2020-03-24,COVID-19 pandemic: palliative care for elderly and frail patients at home and in residential and nursing homes,https://doi.org/10.4414/smw.2020.20235,Swiss Medical Weekly,"Advance care planning is of crucial importance before, or at the latest when, the infection is diagnosed. Explaining not only the serious nature of the infection and the poor prognosis – even with intensive care – but also the possibilities of palliative care allows the patient to make an autonomous decision on how to proceed. In spite of any ban on visits to care homes, relatives must be offered the chance to be with the patient and say goodbye, while complying with protective measures. They should also receive appropriate support.",Palliative care patients and families,Expert Review
11,2020-03-19,Considerations for quarantine of individuals in the context of containment for coronavirus disease (COVID-19),https://apps.who.int/iris/bitstream/handle/10665/331497/WHO-2019-nCoV-IHR_Quarantine-2020.2-eng.pdf,World Health Organization,"Authorities must provide people with clear, up-to-date, transparent and consistent guidelines, and with reliable information about quarantine measures.",Quarantined population,Expert Review
12,2020-03-13,Bearing the brunt of covid-19: older people in low and middle income countries,https://doi.org/10.1136/bmj.m1052,The BMJ,"An age perspective should be included explicitly in the development of national and global planning for covid-19, and a global expert group on older people should be formed to support with guidance and response to the virus in both residential facilities and home settings. As new knowledge emerges, this group can identify and evaluate cost effective therapies and interventions that respond to the particular needs of older people in LMICs living in challenging settings, where formal health service infrastructure is limited.",Elderly in Low/ Middle-Income Countries,Systematic analysis and meta-analysis
13,2020-02-24,Coronavirus Disease 2019 (COVID-19) and pregnancy: what obstetricians need to know,https://doi.org/10.1016/j.ajog.2020.02.017,ScienceDirect,Surveillance systems for cases of COVID-19 need to include information on pregnancy status as well as maternal and fetal outcomes. Obstetric providers should obtain a detailed travel history for all patients and should specifically ask about travel in the past 14 days to areas experiencing widespread transmission of SARS-CoV-2.,Pregnant women,Expert Review
14,2020-02-18,"Communication, transparency key as Canada faces new coronavirus threat",https://www.cmaj.ca/content/cmaj/192/7/E171.full.pdf,Canadian Medical Association Journal,"Two-way communication between hospital decision makers and front-line providers is key. Transparency is also vital to ensure the public cooperates in quarantine, reporting and surveillance measures.","Patient transporters, general public",Expert Review
15,2020-02-03,"Communication, collaboration and cooperation can stop the 2019 coronavirus",https://dx.doi.org/10.1038%2Fs41591-020-0775-x,Nature Medicine,"In the face of global infectious-disease emergencies, countries have a responsibility to be transparent in their reporting and actions, both to their own populations and to the international community, in order to facilitate and accelerate cooperation that will ultimately curtail outbreaks and minimize harm.",National/public health leaders,Expert Review
