,Date,Study,Study Link,Journal,Detection Method,Sample (n),Measure of Evidence (Sn & Sp),Speed of assay,FDA approval,Study Type,Added By,Added on
0,2020-04-23,Comparison of Abbott ID Now and Abbott m2000 methods for the detection of SARS-CoV-2 from nasopharyngeal and nasal swabs from symptomatic patients.,https://jcm.asm.org/content/jcm/early/2020/04/23/JCM.00798-20.full.pdf,American Society for Microbiology,Isothermal amplification,524 (paired),,5-13 mins,,Clinical trial,ker98@georgetown.edu,2020-04-25
1,2020-04-17,The Detection of SARS-CoV-2 using the Cepheid Xpert Xpress SARS-CoV-2 and Roche cobas SARS-CoV-2 Assays,https://jcm.asm.org/content/jcm/early/2020/04/17/JCM.00772-20.full.pdf,Journal of Clinical Microbiology,RT-PCR ( Roche cobas SARS-CoV-2 assay; Cepheid Xpert Xpress SARS-CoV-2 assay),103,Cepheid Xpert Xpress SARS-CoV-2 and Roche63 cobas SARS-CoV-2 assays show excellent agreement (>99%),Cepheid-45 min; Roche 3 hr 45 min,Y,Clinical Study,keeterwc@evms.edu,2020-04-23
2,2020-04-16,Geospatial Hotspots Need Point-of-Care Strategies to Stop Highly Infectious Outbreaks: Ebola and Coronavirus.,https://www.ncbi.nlm.nih.gov/pubmed/32298139,Arch Pathol Lab Med,RT-PCR; LAMP; Serology,136 studies,,PCR: 2-6 Hours; LAMP N/A; Serology N/A,Y,Review,ker98@georgetown.edu & sirjallex@gmail.com,2020-04-25
3,2020-04-15,Rapid Detection of COVID-19 Causative Virus (SARS-CoV-2) in Human Nasopharyngeal Swab Specimens Using Field-Effect Transistor-Based Biosensor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172500/,American Chemical Society Public Health Emergency Collection,COVID-19 FET sensor,3,The FET sensor responded to patient samples diluted as much as 1:1 × 105 (242 copies/mL),>1 minute,N,Simulation Study,ker98@georgetown.edu & sirjallex@gmail.com,2020-04-25
4,2020-04-13,Diagnostic Testing for Severe Acute Respiratory Syndrome-Related Coronavirus-2: A Narrative Review.,https://www.ncbi.nlm.nih.gov/pubmed/32282894,Annals of Internal Medicine,"RT-PCR, Serology, Antigen Detection Tests, CT",,,>1 Hour NAAT (PCR),Y,Review,ker98@georgetown.edu & sirjallex@gmail.com,2020-04-25
5,2020-04-10,Point‐of‐care lung ultrasound in patients with COVID‐19 – a narrative review,https://onlinelibrary.wiley.com/doi/abs/10.1111/anae.15082,Assocaition of anesthesia ,Ultrasound,11 studies,,Real Time ,Y,Review,amnaafreen@mail.rossmed.edu & sirjallex@gmail.com,2020-04-25
6,2020-04-03,COVID-19 pneumonia: A review of typical CT findings and differential diagnosis,https://www.sciencedirect.com/science/article/pii/S2211568420300917?via%3Dihub,Diagnostic and Interventional Imaging,CT,1014,"A large series based on 1014 patients reported a 97% sensitivity of chest CT for the diagnosis of COVID-19, while the mean time interval between initial negative and positive RT-PCR was approximately 5 days .",Hours,Y,Retrospective Cohort,sirjallex@gmail.com,2020-04-25
7,2020-04-03,The Laboratory Diagnosis of COVID-19 Infection: Current Issues and Challenges,https://jcm.asm.org/content/early/2020/04/03/JCM.00512-20.long,Journal of Clinical Microbiology,RT-PCR; Rapid Antigen Tests; Serology,426,,,Y,Review,amnaafreen@mail.rossmed.edu & sirjallex@gmail.com,2020-04-25
8,2020-03-30,Highly accurate and sensitive diagnostic detection of SARS-CoV-2 by digital PCR,https://www.medrxiv.org/content/10.1101/2020.03.14.20036129v2,medRxiv,RT-dPCR,194,"The overall sensitivity, specificity and diagnostic accuracy of RT-dPCR were 90%, 100% and 93 %, respectively",<24 hrs,Y,Retrospective Cohort,sirjallex@gmail.com,2020-04-25
9,2020-03-30,Performance of VivaDiag COVID‐19 IgM/IgG Rapid Test is inadequate for diagnosis of COVID‐19 in acute patients referring to emergency room department,https://onlinelibrary-wiley-com.ezp-prod1.hul.harvard.edu/doi/full/10.1002/jmv.25800,Journal of Medical Virology,VivaDiag COVID-19 IgM / IgG Rapid Test lateral flow immunoassay (LFIA),110,This study states that VivaDiag COVID‐19 IgM/IgG Rapid Test lateral flow immunoassay (LFIA) should not be used for diagnosis of COVID‐19 (n=110) since the test demonstrated poor sensitivty as measured by concomitant RT-PCR testing.,15 mins,?,Clinical trial,ker98@georgetown.edu,2020-04-25
10,2020-03-26,"Report from the American Society for Microbiology COVID-19 International Summit, 23 March 2020: Value of Diagnostic Testing for SARS–CoV-2/COVID-19",https://mbio.asm.org/content/11/2/e00722-20.abstract,American society of microbiology,RT-PCR; Serology,,,N/A PCR; Serology develops 7-11 days postexposure to virus,Y,Review,amnaafreen@mail.rossmed.edu & sirjallex@gmail.com,2020-04-25
11,2020-03-14,"Coronavirus disease 2019, whart we know : Review",https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25766,Journal of medical viriology ,RT-PCR; CT,866,The positive rate of RT‐PCR for throat swab samples was reported to be about 60% in early stage of COVID‐19. CT in suspected patients was 97% based on positive RT‐PCR result and 75% based on negative RT‐PCR results,,Y,Review,amnaafreen@mail.rossmed.edu & sirjallex@gmail.com,2020-04-25
12,2020-03-11,2019 Novel Coronavirus Disease (COVID-19): Paving the Road for Rapid Detection and Point-of-Care Diagnostics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7142866/,Micromachines,rRT-PCR; RT-LAMP; Serology,,"RT-LAMP Sensitivity >95%; PCR Diagnostic sensitivity of 95%, Sensitivity of Serology 88.66%",RT-LAMP <1 hr; PCR 2-3 days;,Y,Review ,ker98@georgetown.edu & sirjallex@gmail.com,2020-04-25
13,2020-03-06,Serological detection of 2019-nCoV respond to the epidemic: A useful complement to nucleic acid testing medrxiv,https://www.medrxiv.org/content/10.1101/2020.03.04.20030916v2,medRxiv,Serology (IgM & IgG Ab Eval),736,"IgM & IgG Sensitivity of 100%, Specificity of ~98%",>4 hrs,Y,Retrospective Cohort ,sirjallex@gmail.com,2020-04-25
