,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?
0,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,https://doi.org/10.1101/2020.04.13.20063545,medRxiv,HR 1.9,1.4,2.5,,Significant,Not Adjusted,Extracted,HR 1.1,0.7,1.7,,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,2653,"All symptomatic patients who tested positive in Reggio from February 27 to April 2, 2020.",4/21/2020,N,N
1,2020-04-10,The Use of Adjuvant Therapy in Preventing Progression to Severe Pneumonia in Patients with Coronavirus Disease 2019: A Multicenter Data Analysis,http://doi.org/10.1101/2020.04.08.20057539,medRxiv,OR: 10.46,3.76,29.1,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,564,"Third Xiangya Hospital of Central South University, Changsha Public Health Treatment Center, First Hospital of Yueyang, Junshan People’s Hospital of Yueyang, Central Hospital of Shaoyang, Central Hospital of Xiangtan, Second Hospital of Changde, Central Hospital of Loudi, and First Affiliated Hospital of University of South China from January 17, 2020 to February 28, 2020.",4/20/2020,N,N
2,2020-04-06,Case fatality rate in COVID-19: a systematic review and meta-analysis,https://doi.org/10.1101/2020.04.01.20050483,medRxiv,,,,,,,,,,,,,,,,Systematic review and meta-analysis,Not reported out of 29 studies enrolling 2090 patients,"PubMed, Scopus and Web of Science databases were searched on March 7, 2027",4/21/2020,N,N
3,2020-04-03,Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up [Journal of Infection],https://doi.org/10.1016/j.jinf.2020.03.019,Journal of Infection,,,,,,,,AHR 2.24,1.12,4.5,0.02,Significant,Adjusted,Extracted,,Prospective observational study,339,"age over 60 years old admitted to Renmin Hospital of Wuhan University from Jan 1 to Feb 6, 2020 (followed up until March 5)",4/10/2020,N,N
4,2020-04-03,History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study,https://doi.org/10.1101/2020.03.23.20041848,medRxiv,,,,,,,,AHR 1.9,0.9,3.9,0.1,Not Significant,Adjusted,Extracted,,Retrospective observational study,275,"mainland China outside of Hubei Province, from December 18th, 2019 to March 8, 2030",4/10/2020,N,N
5,2020-04-03,History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study,https://doi.org/10.1101/2020.03.23.20041848,medRxiv,,,,,,,,HR 2.6,1.2,5.6,0.01,Significant,Not Adjusted,Extracted,,Retrospective observational study,275,"mainland China outside of Hubei Province, from December 18th, 2019 to March 8, 2025",4/10/2020,N,N
6,2020-04-01,Risk factors for severe corona virus disease 2019 (COVID-19) patients : a systematic review and meta analysis,https://doi.org/10.1101/2020.03.30.20047415,medRxiv,OR 3.56,1.33,9.54,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,5 studies enrolling 623 patients,"China National Knowledge Infrastructure (CNKI), Wanfang, Weipu, Chinese Biomedicine Literature Database (CBM-SinoMed), MEDLINE (via PubMed), EMBASE, Cochrane Central Register and Web of science searched through  8 March 2027",4/21/2020,N,N
7,2020-03-27,"Prevalence, Severity and Mortality associated with COPD and Smoking in patients with COVID-19: A Rapid Systematic Review and Meta-Analysis [medrxiv]",https://doi.org/10.1101/2020.03.25.20043745,medRxiv,RR 1.88,1.4,2.04,,Significant,Not Adjusted,Extracted,RR 1.1,0.6,1.8,,Not Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,7 studies enrolling 1259 patients,"MEDLINE and Google scholar searched through March 16, 2020",4/10/2020,N,N
8,2020-03-24,Chronic obstructive pulmonary disease is associated with severe coronavirus disease 2019 (COVID-19),https://doi.org/10.1016/j.rmed.2020.105941,Respiratory Medicine,OR 5.69,2.49,13.0,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,7 studies enrolling 1592 patients,"Web of Science, Scopus and PubMed, English language only, cross-sectional and case series papers with data on COPD",4/10/2020,N,N
9,2020-03-17,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.17.20037572,medRxiv,OR 5.32,2.61,10.85,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,6 studies enrolling 2283 patients,"PubMed, Web of Science Core Collection, Embase, Cochrane and MedRxiv databases were searched through February 25, 2020.",4/21/2020,N,N
10,2020-03-16,Systematic review and meta-analysis of predictive symptoms and comorbidities for severe COVID-19 infection,https://www.medrxiv.org/content/10.1101/2020.03.15.20035360v1.full.pdf,medRxiv,OR 17.8,6.56,48.2,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,6 studies enrolling 212 patients,"MEDLINE, EMBASE and Global Health, from 1st January 2019 to 5th March 2020",4/10/2020,Y,N
11,2020-03-16,Systematic review and meta-analysis of predictive symptoms and comorbidities for severe COVID-19 infection,https://www.medrxiv.org/content/10.1101/2020.03.15.20035360v1.full.pdf,medRxiv,OR 6.42,2.44,16.9,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,3 studies enrolling 1255 patients,"MEDLINE, EMBASE and Global Health, from 1st January 2019 to 5th March 2020",4/10/2020,N,N
12,2020-03-10,Prognostic value of NT-proBNP in patients with severe COVID-19,https://doi.org/10.1101/2020.03.07.20031575,medRxiv,,,,,,,,HR 4.13,0.95,18.02,0.06,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,54,Hubei General Hospital (followed for 15 days),4/10/2020,N,N
13,2020-02-28,Clinical Characteristics of Coronavirus Disease 2019 in China,https://www.ncbi.nlm.nih.gov/pubmed/32109013/,New England Journal of Medicine,OR 23.96,7.39,77.74,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,1099,"552 hospitals in China between Dec 11, 2020 to Jan 29, 2020",4/10/2020,Y,N
14,2020-02-28,Clinical Characteristics of Coronavirus Disease 2019 in China,https://www.ncbi.nlm.nih.gov/pubmed/32109013/,New England Journal of Medicine,OR 5.51,1.76,17.29,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,1099,"552 hospitals in China between Dec 11, 2020 to Jan 29, 2020",4/10/2020,N,N
15,2020-02-27,"Comorbidity and its impact on 1,590 patients with COVID-19 in China: A Nationwide Analysis [medrxiv]",https://doi.org/10.1101/2020.02.25.20027664,medRxiv,HR 2.68,1.42,5.05,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,1590,"575 hospitals in China, from  November 21st, 2019 to January 31st, 2020",4/10/2020,Y,N
16,2020-02-09,Clinical characteristics of 2019 novel coronavirus infection in China,https://doi.org/10.1101/2020.02.06.20020974,New England Journal of Medicine,OR 5.51,1.76,17.29,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,1099,"552 hospitals in China between Dec 11, 2020 to Jan 29, 2020",4/21/2020,N,N
