,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?
0,2020-04-21,Epidemiological Characteristics of Coronavirus Disease 2019 (COVID-19) Patients in IRAN: A single Center Study [Journal of Clinical Virology],https://doi.org/10.1016/j.jcv.2020.104378,Journal of Clinical Virology,,,,,,,,OR 2.05,1.0,4.22,0.05,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,2968.0,"Baqiyatallah hospital from 19 February 2020, to 15 April 2020",4/21/2020,N,N
1,2020-04-20,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",http://doi.org/10.1101/2020.04.15.20067157,medRxiv,,,,,,,,HR 3.45,2.0,5.97,,Significant,Not Adjusted,Extracted,,Prospective observational study,257.0,"Columbia University Irving Medical Center (2 affiliated hospitals in Manhattan) from March 2nd to April 1st, 2020.",4/21/2020,N,N
2,2020-04-20,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",http://doi.org/10.1101/2020.04.15.20067157,medRxiv,,,,,,,,AHR 4.22,2.02,8.84,,Significant,Adjusted,Extracted,,Prospective observational study,257.0,"Columbia University Irving Medical Center (2 affiliated hospitals in Manhattan) from March 2nd to April 1st, 2020.",4/21/2020,N,N
3,2020-04-19,Early prediction of mortality risk among severe COVID-19 patients using machine learning,https://doi.org/10.1101/2020.04.13.20064329,medRxiv,,,,,,,,OR 3.76,1.23,11.52,0.02,Significant,Not Adjusted,Calculated,,Retrospective observational study,256.0,"Severe COVID-19 patients only from Sino-French New City Branch of Tongji Hospital from Jan 28 to March 11, 2020",4/21/2020,N,N
4,2020-04-03,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020 [MMWR Morb Mortal Wkly Rep]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7119513/,Morbidity and Mortality Weekly Report,OR 3.18,2.53,4.0,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,74439.0,"CDC passive surveillance registry as of March 28, 2023",4/27/2020,Y,N
5,2020-04-03,History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study,https://doi.org/10.1101/2020.03.23.20041848,medRxiv,,,,,,,,HR 1.1,0.4,2.5,0.55,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,275.0,"mainland China outside of Hubei Province, from December 18th, 2019 to March 8, 2024",4/10/2020,N,N
6,2020-03-23,Prognostic value of C-reactive protein in patients with COVID-19,https://doi.org/10.1101/2020.03.21.20040360,medRxiv,,,,,,,,OR: 3.74,1.57,8.89,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,298.0,"Eastern Campus of Renmin Hospital of Wuhan University from Jan 30 to Feb 20, 2027",4/10/2020,N,N
7,2020-03-23,"Characteristics of patients with COVID-19 during epidemic ongoing outbreak in Wuhan, China",https://doi.org/10.1101/2020.03.19.20033175,medRxiv,,,,,,,,OR 5.44,2.45,12.06,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,403.0,"Eastern Campus of Renmin Hospital, Wuhan University from Jan 30 to Feb 25, 2020",4/21/2020,N,N
8,2020-03-06,"Epidemiological and clinical features of 291 cases with coronavirus disease 2019 in areas adjacent to Hubei, China: a double-center observational study",https://doi.org/10.1101/2020.03.03.20030353,medRxiv,OR 5.24,1.46,18.86,0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,291.0,"First Hospital of Changsha and Loudi Central Hospital from January 23 to February 14, 2020, followed up to Feb 20, 2020",4/21/2020,N,N
9,2020-03-06,"Epidemiological and clinical features of 291 cases with coronavirus disease 2019 in areas adjacent to Hubei, China: a double-center observational study [medrxiv]",https://doi.org/10.1101/2020.03.03.20030353,medRxiv,OR 5.24,1.46,18.9,0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,291.0,"First Hospital of Changsha and Loudi Central Hospital from January 23 to February 14, 2020, followed up to Feb 20, 2022",4/21/2020,N,N
