,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?
0,2020-04-21,Epidemiological Characteristics of Coronavirus Disease 2019 (COVID-19) Patients in IRAN: A single Center Study [Journal of Clinical Virology],https://doi.org/10.1016/j.jcv.2020.104378,Journal of Clinical Virology,,,,,,,,OR 2.04,0.57,7.33,0.27,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,2968,"Baqiyatallah hospital from 19 February 2020, to 15 April 2020",4/21/2020,N,N
1,2020-04-20,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",http://doi.org/10.1101/2020.04.15.20067157,medRxiv,,,,,,,,HR 0.89,0.57,1.39,,Not Significant,Not Adjusted,Extracted,,Prospective observational study,257,"Columbia University Irving Medical Center (2 affiliated hospitals in Manhattan) from March 2nd to April 1st, 2020.",4/21/2020,N,N
2,2020-04-20,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",http://doi.org/10.1101/2020.04.15.20067157,medRxiv,,,,,,,,AHR 1.28,0.77,2.13,,Not Significant,Adjusted,Extracted,,Prospective observational study,257,"Columbia University Irving Medical Center (2 affiliated hospitals in Manhattan) from March 2nd to April 1st, 2020.",4/21/2020,N,N
3,2020-04-19,Early prediction of mortality risk among severe COVID-19 patients using machine learning,https://doi.org/10.1101/2020.04.13.20064329,medRxiv,,,,,,,,,,,,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,256,"Severe COVID-19 patients only from Sino-French New City Branch of Tongji Hospital from Jan 28 to March 11, 2020",4/21/2020,N,N
4,2020-04-17,Association between ABO blood groups and clinical outcome of coronavirus disease 2019: Evidence from two cohorts,http://doi.org/10.1101/2020.04.15.20063107,medRxiv,,,,,,,,OR 2.04,0.57,7.33,0.27,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,234,"Patients with mild symptoms from Xi’an, Beijing, and Wuhan and patients who are critically ill from Xi'an and Wuhan (from a total of 5 hospitals), enrolled from February 5 to March 20, 2025",4/21/2020,Y,N
5,2020-04-17,"Diabetes mellitus is associated with increased mortality and severity of disease in COVID-19 pneumonia â€“ A systematic review, meta-analysis, and meta-regression",https://doi.org/10.1016/j.dsx.2020.04.018,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,RR 4.64,1.86,11.58,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,30 studies enrolling 6452 patients,"PubMed and EuropePMC with the search terms (1) “COVID-19″ OR “SARS-CoV-2″ AND “Characteristics”, (2) “COVID-19″ OR “SARS-CoV-2″ AND “Diabetes”, English, MEDLINE through  April 8th, 2020.",4/21/2020,Y,N
6,2020-04-17,"Diabetes mellitus is associated with increased mortality and severity of disease in COVID-19 pneumonia â€“ A systematic review, meta-analysis, and meta-regression",https://doi.org/10.1016/j.dsx.2020.04.018,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,RR 1.47,0.38,5.67,,Not Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,30 studies enrolling 6452 patients,"PubMed and EuropePMC with the search terms (1) “COVID-19″ OR “SARS-CoV-2″ AND “Characteristics”, (2) “COVID-19″ OR “SARS-CoV-2″ AND “Diabetes”, English, MEDLINE through  April 8th, 2020.",4/21/2020,Y,N
7,2020-04-17,"Diabetes mellitus is associated with increased mortality and severity of disease in COVID-19 pneumonia â€“ A systematic review, meta-analysis, and meta-regression",https://doi.org/10.1016/j.dsx.2020.04.018,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,RR 2.45,1.79,3.35,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,30 studies enrolling 6452 patients,"PubMed and EuropePMC with the search terms (1) “COVID-19″ OR “SARS-CoV-2″ AND “Characteristics”, (2) “COVID-19″ OR “SARS-CoV-2″ AND “Diabetes”, English, MEDLINE through  April 8th, 2020.",4/21/2020,N,N
8,2020-04-17,"Diabetes mellitus is associated with increased mortality and severity of disease in COVID-19 pneumonia â€“ A systematic review, meta-analysis, and meta-regression",https://doi.org/10.1016/j.dsx.2020.04.018,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,,,,RR 2.12,1.44,3.11,,Significant,Not Adjusted,Calculated,,Systematic review and meta-analysis,30 studies enrolling 6452 patients,"PubMed and EuropePMC with the search terms (1) “COVID-19″ OR “SARS-CoV-2″ AND “Characteristics”, (2) “COVID-19″ OR “SARS-CoV-2″ AND “Diabetes”, English, MEDLINE through  April 8th, 2020.",4/21/2020,N,N
9,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,https://doi.org/10.1101/2020.04.13.20063545,medRxiv,HR 1.5,1.3,1.9,,Significant,Not Adjusted,Extracted,HR 1.6,1.1,2.2,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2653,"All symptomatic patients who tested positive in Reggio from February 27 to April 2, 2020.",4/21/2020,N,N
10,2020-04-12,The clinical course and its correlated immune status in COVID-19 pneumonia,http://doi.org/10.1016/j.jcv.2020.104361,Journal of Clinical Virology,OR: 2.08,0.75,5.81,0.16,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,204,"Renmin Hospital of Wuhan University between January 10.2020 and February 13,2020",4/27/2020,N,N
11,2020-04-12,Risk factors for severity and mortality in adult COVID-19 inpatients in Wuhan Risk factors for severity and mortality in adult COVID-19 1 inpatients in Wuhan,http://doi.org/10.1016/j.jaci.2020.04.006,Journal of Allergy and Clinical Immunology,OR 1.92,1.19,3.1,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,548,"Sino-French New City Branch of Tongji Hospital, Huazhong University of Science and 161 Technology in Wuhan from January 26, 2020 to February 5, 2022",4/27/2020,N,N
12,2020-04-11,"Factors associated with hospitalization and critical illness among 4,103 patients with",http://doi.org/10.1101/2020.04.08.20057794,medRxiv,OR 1.14,0.83,1.58,0.41,Not Significant,Not Adjusted,Extracted,,,,,,,,,Cross-sectional study,4103,"Single-center study in  New York City between March 1, 2020 and April 2, 2020, with follow up through April 7, 2023",4/21/2020,Y,N
13,2020-04-10,The Use of Adjuvant Therapy in Preventing Progression to Severe Pneumonia in Patients with Coronavirus Disease 2019: A Multicenter Data Analysis,http://doi.org/10.1101/2020.04.08.20057539,medRxiv,OR: 2.95,1.44,6.03,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,564,"Third Xiangya Hospital of Central South University, Changsha Public Health Treatment Center, First Hospital of Yueyang, Junshan People’s Hospital of Yueyang, Central Hospital of Shaoyang, Central Hospital of Xiangtan, Second Hospital of Changde, Central Hospital of Loudi, and First Affiliated Hospital of University of South China from January 17, 2020 to February 28, 2020.",4/20/2020,N,N
14,2020-04-07,The relationship of COVID-19 severity with cardiovascular disease and its traditional risk factors: A systematic review and meta-analysis,https://doi.org/10.1101/2020.04.05.20054155,medRxiv,OR/HR 2.81,2.01,3.93,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,11 studies enrolling 24403 patients,"PubMed and Embase were searched for records published between December 1, 2019 and March 20, 2020.",4/20/2020,Y,N
15,2020-04-06,"Urinalysis, but not blood biochemistry, detects the early renal-impairment in patients with COVID-19",https://doi.org/10.1101/2020.04.03.20051722,medRxiv,OR 2.43,0.92,6.38,0.07,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,178,"Tongji Medical College, Huazhong University of Science and Technology, from February 02 to February 29, 2020",4/20/2020,Y,N
16,2020-04-06,Case fatality rate in COVID-19: a systematic review and meta-analysis,https://doi.org/10.1101/2020.04.01.20050478,medRxiv,,,,,,,,,,,,,,,,Systematic review and meta-analysis,Not reported out of 29 studies enrolling 2090 patients,"PubMed, Scopus and Web of Science databases were searched on March 7, 2022",4/21/2020,N,N
17,2020-04-03,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020 [MMWR Morb Mortal Wkly Rep]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7119513/,Morbidity and Mortality Weekly Report,OR 4.67,3.85,5.66,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,74439,"CDC passive surveillance registry as of March 28, 2024",4/27/2020,Y,N
18,2020-04-03,History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study,https://doi.org/10.1101/2020.03.23.20041848,medRxiv,,,,,,,,HR 1.1,0.7,1.9,0.61,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,275,"mainland China outside of Hubei Province, from December 18th, 2019 to March 8, 2026",4/10/2020,N,N
19,2020-04-01,Risk factors for severe corona virus disease 2019 (COVID-19) patients : a systematic review and meta analysis,https://doi.org/10.1101/2020.03.30.20047415,medRxiv,OR 3.04,2.01,4.6,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,10 studies enrolling 1083 patients,"China National Knowledge Infrastructure (CNKI), Wanfang, Weipu, Chinese Biomedicine Literature Database (CBM-SinoMed), MEDLINE (via PubMed), EMBASE, Cochrane Central Register and Web of science searched through  8 March 2020",4/21/2020,N,N
20,2020-03-31,"Effects of hypertension, diabetes and coronary heart disease on COVID-19 diseases severity: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.25.20043133,medRxiv,OR 2.67,1.91,3.74,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,9 studies enrolling 1936 patients,"PubMed (1970-2020.03.06, English), Web of science (1950-2020.03.06, English), China National Knowledge Infrastructure Database (CNKI, 1979-2020.03.06, Chinese), WanFang Database (1970-2020.03.06, Chinese), and VIP Database (1970-2020.03.06, Chinese)",4/10/2020,N,N
21,2020-03-31,Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up [Journal of Infection],https://doi.org/10.1016/j.jinf.2020.03.019,Journal of Infection,,,,,,,,HR 1.09,0.57,2.08,0.8,Not Significant,Not Adjusted,Extracted,,Prospective observational study,339,"age over 60 years old admitted to Renmin Hospital of Wuhan University from Jan 1 to Feb 6, 2020 (followed up until March 5)",4/10/2020,N,N
22,2020-03-30,"Suspected myocardial injury in patients with COVID-19: Evidence from front-line clinical observation in Wuhan, China",https://doi.org/10.1016/j.ijcard.2020.03.087,International Journal of Cardiology,OR 2.11,0.7,6.35,0.18,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,112,"Renmin Hospital of Wuhan Univeristy from  January 6 to February 20, 2020",4/20/2020,N,N
23,2020-03-30,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China",https://doi.org/10.1101/2020.03.25.20037721,medRxiv,AOR 3.11,1.16,8.37,<0.01,Significant,Adjusted,Extracted,,,,,,,,,Retrospective observational study,323,"Tianyou Hospital from January 8 to February 20, 2022",4/10/2020,N,N
24,2020-03-30,Development and external validation of a prognostic multivariable model on admission for hospitalized patients with COVID-19,https://doi.org/10.1101/2020.03.28.20045997,medRxiv,,,,,,,,OR 1.65,0.9,3.0,0.1,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,299,Tongji Hospital from Jan to Feb 2020,4/21/2020,N,N
25,2020-03-26,Comorbid Diabetes Mellitus was Associated with Poorer Prognosis in Patients with COVID-19: A Retrospective Cohort Study [medrxiv],https://doi.org/10.1101/2020.03.24.20042358,medRxiv,AOR: 1.37,0.74,2.55,0.32,Not Significant,Adjusted,Calculated,,,,,,,,,Retrospective observational study,258,"West Court of Union Hospital of Huazhong University of Science and Technology admissions from  January 29 to February 12, 2020 (followed up through March 12)",4/27/2020,Y,N
26,2020-03-26,Comorbid Diabetes Mellitus was Associated with Poorer Prognosis in Patients with COVID-19: A Retrospective Cohort Study [medrxiv],https://doi.org/10.1101/2020.03.24.20042358,medRxiv,AOR: 2.37,1.25,4.5,0.01,Significant,Adjusted,Calculated,,,,,,,,,Retrospective observational study,258,"West Court of Union Hospital of Huazhong University of Science and Technology admissions from  January 29 to February 12, 2020 (followed up through March 12)",4/20/2020,Y,N
27,2020-03-26,Comorbid Diabetes Mellitus was Associated with Poorer Prognosis in Patients with COVID-19: A Retrospective Cohort Study,https://doi.org/10.1101/2020.03.24.20042358,medRxiv,AHR 3.64,1.01,7.8,0.05,Not Significant,Adjusted,Extracted,AHR 3.64,1.09,12.21,0.04,Significant,Adjusted,Extracted,,Retrospective observational study,258,"West Court of Union Hospital of Huazhong University of Science and Technology admissions from  January 29 to February 12, 2020 (followed up through March 12)",4/10/2020,N,N
28,2020-03-24,"Myocardial injury is associated with in-hospital mortality of confirmed or suspected COVID-19 in Wuhan, China: A single center retrospective cohort study",https://doi.org/10.1101/2020.03.21.20040121,medRxiv,,,,,,,Diabetes,OR 2.17,0.53,8.93,0.28,Not significant,Not Adjusted,Calculated,,Retrospective observational study,110,Patients from Wuhan No.1 Hospital from Dec 25th to Feb 15th.,4/10/2020,N,N
29,2020-03-23,Prognostic value of C-reactive protein in patients with COVID-19,https://doi.org/10.1101/2020.03.21.20040360,medRxiv,,,,,,,,OR: 1.89,0.98,3.65,0.06,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,298,"Eastern Campus of Renmin Hospital of Wuhan University from Jan 30 to Feb 20, 2026",4/10/2020,N,N
30,2020-03-23,"Clinical Characteristics of Coronavirus Disease 2019 in Hainan, China [medrxiv]",https://doi.org/10.1101/2020.03.19.20038539,medRxiv,OR: 6.13,1.82,20.7,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,168,Hainan province from 22 January 2020 to 14 March 2022,4/21/2020,N,N
31,2020-03-23,"Clinical Characteristics of Coronavirus Disease 2019 in Hainan, China",https://doi.org/10.1101/2020.03.19.20038539,medRxiv,OR 6.13,1.82,20.69,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,168,Hainan province from 22 January 2020 to 14 March 2020,4/21/2020,N,N
32,2020-03-20,"Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings",http://doi.org/10.1016/j.ijid.2020.03.040,International Journal of Infectious Diseases,OR 2.22,1.01,4.84,0.05,Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,645,"Zhejiang from  Jan 17 to Feb 8, 2021",4/21/2020,N,N
33,2020-03-17,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.17.20037572,medRxiv,OR 2.49,1.82,3.4,,Significant,Not Adjusted,Extracted,,,,,,Not Adjusted,,,Systematic review and meta-analysis,10 studies enrolling 2511 patients,"PubMed, Web of Science Core Collection, Embase, Cochrane and MedRxiv databases were searched through February 25, 2020.",4/10/2020,N,N
34,2020-03-16,Systematic review and meta-analysis of predictive symptoms and comorbidities for severe COVID-19 infection [medrxiv],https://www.medrxiv.org/content/10.1101/2020.03.15.20035360v1.full.pdf,medRxiv,OR 2.72,0.7,10.6,0.15,Not Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,9 studies enrolling 212 patients,"MEDLINE, EMBASE and Global Health, from 1st January 2019 to 5th March 2020",4/10/2020,Y,N
