,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?
0,2020-04-20,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",http://doi.org/10.1101/2020.04.15.20067157,medRxiv,,,,,,,,HR 0.62,0.33,1.17,,Significant,Not Adjusted,Extracted,,Prospective observational study,257,"Columbia University Irving Medical Center (2 affiliated hospitals in Manhattan) from March 2nd to April 1st, 2020.",4/21/2020,N,N
1,2020-04-20,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",http://doi.org/10.1101/2020.04.15.20067157,medRxiv,,,,,,,,AHR 0.69,0.34,1.42,,Not Significant,Adjusted,Extracted,,Prospective observational study,257,"Columbia University Irving Medical Center (2 affiliated hospitals in Manhattan) from March 2nd to April 1st, 2020.",4/21/2020,N,N
2,2020-04-17,Association between ABO blood groups and clinical outcome of coronavirus disease 2019: Evidence from two cohorts,http://doi.org/10.1101/2020.04.15.20063107,medRxiv,OR 1.96,0.73,5.21,0.18,Not Significant,Not Adjusted,Calculated,OR 1.15,0.41,3.23,0.79,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,234,"Patients with mild symptoms from Xi’an, Beijing, and Wuhan and patients who are critically ill from Xi'an and Wuhan (from a total of 5 hospitals), enrolled from February 5 to March 20, 2024",4/21/2020,Y,N
3,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,https://doi.org/10.1101/2020.04.13.20063545,medRxiv,HR 1.3,1.0,1.7,,Not Significant,Not Adjusted,Extracted,HR 1.7,1.2,2.5,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2653,"All symptomatic patients who tested positive in Reggio from February 27 to April 2, 2020.",4/21/2020,N,N
4,2020-04-16,Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis [medrxiv],https://doi.org/10.1101/2020.04.12.20062869,medRxiv,4.19,1.27,13.8,,Significant,Not Adjusted,Extracted,1.95,1.17,3.24,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,16 studies enrolling 3473 patients,"PubMed, Embase, Cochrane Library, Scopus, Web of Science as well as medRxiv pre-print database, Google Scholar and journal websites were searched",4/21/2020,Y,N
5,2020-04-15,"Risk factors for disease severity, unimprovement, and mortality of COVID-19 patients in Wuhan, China [Clinical Microbiology and Infection]",https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(20)30217-2/pdf,Clinical Microbiology and Infection,OR 3.16,2.07,4.81,<0.01,Significant,Not Adjusted,Calculated,OR 5.89,2.55,13.59,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,663,"Renmin Hospital of Wuhan University from January 11th to February 6th, 2020",4/27/2020,N,N
6,2020-04-12,Risk factors for severity and mortality in adult COVID-19 inpatients in Wuhan Risk factors for severity and mortality in adult COVID-19 1 inpatients in Wuhan,http://doi.org/10.1016/j.jaci.2020.04.006,Journal of Allergy and Clinical Immunology,OR 5.29,2.15,12.98,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,548,"Sino-French New City Branch of Tongji Hospital, Huazhong University of Science and 161 Technology in Wuhan from January 26, 2020 to February 5, 2021",4/27/2020,N,N
7,2020-04-11,"Factors associated with hospitalization and critical illness among 4,103 patients with",http://doi.org/10.1101/2020.04.08.20057794,medRxiv,OR 0.89,0.55,1.41,0.61,Not Significant,Not Adjusted,Extracted,,,,,,,,,Cross-sectional study,4103,"Single-center study in  New York City between March 1, 2020 and April 2, 2020, with follow up through April 7, 2024",4/21/2020,Y,N
8,2020-04-10,The Use of Adjuvant Therapy in Preventing Progression to Severe Pneumonia in Patients with Coronavirus Disease 2019: A Multicenter Data Analysis,http://doi.org/10.1101/2020.04.08.20057539,medRxiv,OR: 2.85,1.08,7.56,0.04,Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,564,"Third Xiangya Hospital of Central South University, Changsha Public Health Treatment Center, First Hospital of Yueyang, Junshan People’s Hospital of Yueyang, Central Hospital of Shaoyang, Central Hospital of Xiangtan, Second Hospital of Changde, Central Hospital of Loudi, and First Affiliated Hospital of University of South China from January 17, 2020 to February 28, 2020.",4/20/2020,N,N
9,2020-04-07,The clinical characteristics of COVID-19: a retrospective analysis of 104 patients from the outbreak on board the Diamond Princess cruise ship in Japan,https://doi.org/10.1101/2020.03.18.20038125,medRxiv,OR: 1.88,0.68,5.23,0.23,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,104,Passengers and crew of Diamond Princess cruise ship,4/10/2020,N,N
