,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population
0,2020-04-22,Impact of blood analysis and immune function on the prognosis of patients with COVID-19,http://doi.org/10.1101/2020.04.16.20067587,medRxiv,,,,,,,,OR 1.96,0.62,6.23,0.26,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,85,COVID-19 pneumonia patients admitted to Third Batch of Chongqing Medical Aid Team from 4 February 2020 to 16 February 2020
1,2020-04-21,Epidemiological Characteristics of Coronavirus Disease 2019 (COVID-19) Patients in IRAN: A single Center Study [Journal of Clinical Virology],https://doi.org/10.1016/j.jcv.2020.104378,Journal of Clinical Virology,,,,,,,,1.82,0.85,3.87,0.12,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,2968,"Baqiyatallah hospital from 19 February 2020, to 15 April 2020"
2,2020-04-20,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",http://doi.org/10.1101/2020.04.15.20067157,medRxiv,,,,,,,,HR 2.27,1.37,3.79,,Significant,Not Adjusted,Extracted,,Prospective observational study,257,"Columbia University Irving Medical Center (2 affiliated hospitals in Manhattan) from March 2nd to April 1st, 2020."
3,2020-04-20,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",http://doi.org/10.1101/2020.04.15.20067157,medRxiv,,,,,,,,AHR 2.13,1.13,3.99,,Significant,Adjusted,Extracted,,Prospective observational study,257,"Columbia University Irving Medical Center (2 affiliated hospitals in Manhattan) from March 2nd to April 1st, 2020."
4,2020-04-19,Early prediction of mortality risk among severe COVID-19 patients using machine learning,https://doi.org/10.1101/2020.04.13.20064329,medRxiv,,,,,,,,OR 1.32,0.72,2.43,0.37,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,256,"Severe COVID-19 patients only from Sino-French New City Branch of Tongji Hospital  from Jan 28 to March 11, 2020"
5,2020-04-17,Association between ABO blood groups and clinical outcome of coronavirus disease 2019: Evidence from two cohorts,http://doi.org/10.1101/2020.04.15.20063107,medRxiv,OR 1.94,0.82,4.62,0.13,Not Significant,Not Adjusted,Calculated,OR 0.96,0.36,2.52,0.93,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,234,"Patients with mild symptoms from Xi’an, Beijing, and Wuhan and patients who are critically ill from Xi'an and Wuhan (from a total of 5 hospitals), enrolled from February 5 to March 20, 2026"
6,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,https://doi.org/10.1101/2020.04.13.20063545,medRxiv,HR 1.4,1.2,1.6,,Significant,Not Adjusted,Extracted,HR 1.6,1.2,2.1,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2653,"All symptomatic patients who tested positive in Reggio from February 27 to April 2, 2020."
7,2020-04-16,Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis [medrxiv],https://doi.org/10.1101/2020.04.12.20062869,medRxiv,2.69,1.55,4.67,,Significant,Not Adjusted,Extracted,1.92,1.34,2.74,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,16 studies enrolling 3473 patients,"PubMed, Embase, Cochrane Library, Scopus, Web of Science as well as medRxiv pre-print database, Google Scholar and journal websites were searched"
8,2020-04-12,The clinical course and its correlated immune status in COVID-19 pneumonia,http://doi.org/10.1016/j.jcv.2020.104361,Journal of Clinical Virology,OR: 7.56,3.37,16.9,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,204,"Renmin Hospital of Wuhan University between January 10.2020 and February 13,2020"
9,2020-04-12,Risk factors for severity and mortality in adult COVID-19 inpatients in Wuhan Risk factors for severity and mortality in adult COVID-19 1 inpatients in Wuhan,http://doi.org/10.1016/j.jaci.2020.04.006,Journal of Allergy and Clinical Immunology,OR 2.01,1.27,3.17,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,548,"Sino-French New City Branch of Tongji Hospital, Huazhong University of Science and 161 Technology in Wuhan from January 26, 2020 to February 5, 2023"
10,2020-04-11,"Factors associated with hospitalization and critical illness among 4,103 patients with",http://doi.org/10.1101/2020.04.08.20057794,medRxiv,OR 0.95,0.68,1.33,0.78,Not Significant,Not Adjusted,Extracted,,,,,,,,,Cross-sectional study,4103,"Single-center study in  New York City between March 1, 2020 and April 2, 2020, with follow up through April 7, 2026"
11,2020-04-11,Key to successful treatment of COVID-19: accurate identification of severe risks and early intervention of disease progression,http://doi.org/10.1101/2020.04.06.20054890,medRxiv,OR 1.83,0.59,5.67,0.3,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,97,"Fifth Affiliated Hospital of Sun Yat-sen University from January 17, 2020 to March 10, 2020"
12,2020-04-11,Hypertension in patients hospitalized with COVID-19 in Wuhan China: A single-center retrospective observational study,https://doi.org/10.1101/2020.04.06.20054825,medRxiv,OR0.86,0.5,1.47,0.58,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,274,"Hankou Hospital Jan 3 - March 8, 2020"
