,Date,Title,URL,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Design,Sample,Study population,Added on,Critical only,Discharged vs. death?
0,2020-04-16,Smoking is Associated with COVID-19 Progression: A Meta-Analysis,https://doi.org/10.1101/2020.04.13.20063669,medRxiv,OR 2.25,1.49,3.39,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,12 studies enrolling 9025 patients,"PubMed database on April 6, 2020, with the search term: ((smoking) OR (characteristics) OR (risk factors) OR (outcomes) OR (smoker*)) AND ((COVID-19) OR (COVID) OR (coronavirus) OR (sars cov-2) OR (sars cov 2)) for studies published between January 1, 2020 and April 6, 2020.",4/27/2020,N,N
1,2020-04-14,"Associations of clinical characteristics and antiviral drugs with viral RNA clearance in patients with COVID-19 in Guangzhou, China: a retrospective cohort study [medrxiv]",https://doi.org/10.1101/2020.04.09.20058941,medRxiv,OR 1.51,0.57,3.99,0.41,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,284,Guangzhou Eighth People’s Hospital between 20th January 2020 and 15th March 2020,4/21/2020,N,N
2,2020-04-07,The clinical characteristics of COVID-19: a retrospective analysis of 104 patients from the outbreak on board the Diamond Princess cruise ship in Japan,https://doi.org/10.1101/2020.03.18.20038125,medRxiv,OR: 2.06,0.61,6.93,0.25,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,104,Passengers and crew of Diamond Princess cruise ship,4/10/2020,N,N
3,2020-04-07,The relationship of COVID-19 severity with cardiovascular disease and its traditional risk factors: A systematic review and meta-analysis,https://doi.org/10.1101/2020.04.05.20054155,medRxiv,OR/HR 2.01,0.83,4.86,,Not Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,3 studies enrolling 1342 patients,"PubMed and Embase were searched for records published between December 1, 2019 and March 20, 2020.",4/20/2020,Y,N
4,2020-04-06,Case fatality rate in COVID-19: a systematic review and meta-analysis,https://doi.org/10.1101/2020.04.01.20050486,medRxiv,,,,,,,,,,,,,,,,Systematic review and meta-analysis,Not reported out of 29 studies enrolling 2090 patients,"PubMed, Scopus and Web of Science databases were searched on March 7, 2030",4/21/2020,N,N
5,2020-04-03,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020 [MMWR Morb Mortal Wkly Rep]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7119513/,Morbidity and Mortality Weekly Report,OR 3.06,2.16,4.36,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,74439,"CDC passive surveillance registry as of March 28, 2027",4/27/2020,Y,N
6,2020-04-01,Risk factors for severe corona virus disease 2019 (COVID-19) patients : a systematic review and meta analysis,https://doi.org/10.1101/2020.03.30.20047415,medRxiv,OR 1.40,0.65,3.01,,Not significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,3 studies enrolling 412 patients,"China National Knowledge Infrastructure (CNKI), Wanfang, Weipu, Chinese Biomedicine Literature Database (CBM-SinoMed), MEDLINE (via PubMed), EMBASE, Cochrane Central Register and Web of science searched through  8 March 2026",4/21/2020,N,N
7,2020-03-30,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China",https://doi.org/10.1101/2020.03.25.20037721,medRxiv,AOR 3.46,1.18,10.17,<0.01,Significant,Adjusted,Extracted,,,,,,,,,Retrospective observational study,323,"Tianyou Hospital from January 8 to February 20, 2020",4/10/2020,N,N
8,2020-03-30,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China",https://doi.org/10.1101/2020.03.25.20037721,medRxiv,OR 2.12,1.0,4.47,0.05,Not Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,323,"Tianyou Hospital from January 8 to February 20, 2020",4/10/2020,N,N
9,2020-03-30,Development and external validation of a prognostic multivariable model on admission for hospitalized patients with COVID-19,https://doi.org/10.1101/2020.03.28.20045997,medRxiv,,,,,,,,OR 0.93,0.26,3.27,0.91,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,299,Tongji Hospital from Jan to Feb 2020,4/21/2020,N,N
10,2020-03-27,"Prevalence, Severity and Mortality associated with COPD and Smoking in patients with COVID-19: A Rapid Systematic Review and Meta-Analysis",https://doi.org/10.1101/2020.03.25.20043745,medRxiv,RR 1.45,1.03,2.04,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,2 studies enrollilng 916 patients,"MEDLINE and Google scholar searched through March 16, 2020",4/27/2020,N,N
11,2020-03-24,"Epidemiological and clinical features of 125 Hospitalized Patients with COVID-19 in Fuyang, Anhui, China Epidemiological and clinical features of 125 Hospitalized Patients with COVID-19 in Fuyang, Anhui, China",http://doi.org/10.1016/j.ijid.2020.03.070,International Journal of Infectious Diseases,OR 3.93,1.3,11.9,0.02,Significant,Not Adjusted,Calculated,,,,,,,,,Prospective observational study,125,"NO.2 People’s Hospital of Fuyang City Jan 20 - Feb 9, 2020",4/10/2020,Y,N
12,2020-03-23,Prognostic value of C-reactive protein in patients with COVID-19,https://doi.org/10.1101/2020.03.21.20040360,medRxiv,,,,,,,,OR: 1.63,0.65,4.08,0.3,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,298,"Eastern Campus of Renmin Hospital of Wuhan University from Jan 30 to Feb 20, 2024",4/10/2020,N,N
13,2020-03-23,"Characteristics of patients with COVID-19 during epidemic ongoing outbreak in Wuhan, China",https://doi.org/10.1101/2020.03.19.20033175,medRxiv,,,,,,,,OR 1.40,0.62,3.18,0.42,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,403,"Eastern Campus of Renmin Hospital, Wuhan University from Jan 30 to Feb 25, 2020",4/21/2020,N,N
14,2020-03-20,Tobacco Induced Diseases COVID-19 and smoking: A systematic review of the evidence,http://doi.org/10.18332/tid/119324,Tobacco Induced Diseases,RR 2.4,1.43,4.04,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,3 studies enrolling 1331 patients,PubMed and ScienceDirect were searched for December 2019 - January 2020,4/20/2020,Y,N
15,2020-03-20,Non-severe vs severe symptomatic COVID-19: 104 cases from the outbreak on the cruise ship Â“Diamond PrincessÂ” in Japan,https://doi.org/10.1101/2020.03.18.20038125,medRxiv,,,,,,,Calculated,OR 1.49,0.52,4.23,0.45,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,71,71 patients on board the Diamond Princess cruise ship with laboratory-confirmed COVID-19 who were symptomatic at the end of the observation,4/21/2020,N,N
16,2020-03-20,The clinical characteristics of COVID-19: a retrospective analysis of 104 patients from the outbreak on board the Diamond Princess cruise ship in Japan,https://doi.org/10.1101/2020.03.18.20038125,medRxiv,OR 2.06,0.61,6.93,0.25,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,104,"Diamond Princess cruise ship passengers and crew (followed  from 11th-26th Feb, 2020)",4/10/2020,N,N
17,2020-03-20,Tobacco Induced Diseases COVID-19 and smoking: A systematic review of the evidence,http://doi.org/10.18332/tid/119324,Tobacco Induced Diseases,RR 1.4,0.98,2.0,,Not Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,5 studies enrolling 1549 patients,PubMed and ScienceDirect were searched for December 2019 - January 2020,4/20/2020,N,N
18,2020-03-17,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.17.20037572,medRxiv,OR 1.73,1.15,2.63,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,Not reported number of studies out of 30 enrolling 5300 patients,"PubMed, Web of Science Core Collection, Embase, Cochrane and MedRxiv databases were searched through February 25, 2020.",4/10/2020,N,N
19,2020-03-16,Active smoking is not associated with severity of coronavirus disease 2019 (COVID-19),https://doi.org/10.1016/j.ejim.2020.03.014,European Journal of Internal Medicine,OR 1.69,0.41,6.92,0.25,Not Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,"5 studies, 1399 patients","Medline (PubMed interface), Scopus and Web of Science searched through March 9, 2020, without language restriction",4/10/2020,N,N
20,2020-03-16,"Influence factors of death risk among COVID-19 patients in Wuhan, China: a hospital-based case-cohort study",https://doi.org/10.1101/2020.03.13.20035329,medRxiv,,,,,,,Smoking status,RR 0.81,0.44,1.48,0.49,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,200,"Union Hospital of Huazhong University of Science and Technology from Jan 1 to Jan 30, 2020",4/10/2020,N,N
21,2020-03-12,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",http://doi.org/10.1016/s0140-6736(20)30566-3,Lancet,,,,,,,,OR: 2.23,0.65,7.63,0.2,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,191,"Jinyintan Hospital and Wuhan Pulmonary Hospital (Wuhan, China) who had been discharged or had died by Jan 31, 2020",4/27/2020,N,Y
22,2020-03-09,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",https://www.ncbi.nlm.nih.gov/pubmed/32171076,Lancet,,,,,,,,OR 2.23,0.65,7.63,0.2,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,191,"Only those who either died or were discharged, at Jinyintan Hospital or Wuhan Pulmonary Hospital through Jan 31, excluding those still hospitalized on Jan 31",4/10/2020,N,N
